event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,basin_id,sub_basin_area_sq_km,upstream_area_sq_km,distance_to_outlet_km,basin_order,nearest_river_distance_km,river_average_discharge_cms,river_upstream_area_sq_km,river_strahler_order,local_elevation_m,local_relief_m,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
episode-8fcee605f9337a6fb594,Government of Nepal BIPAD Portal,2014,7,20,Far Western Region,Doti,Shikhar,FLOOD,0,1,0,0,0,0,0,0.0,False,29.18116,80.84086,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-1c3e74cb9685a7184a63,Government of Nepal BIPAD Portal,2014,7,20,Mid-Western Region,Jajarkot,Kushe,FLOOD,0,1,0,0,0,0,0,0.0,False,28.86981,82.19935,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-6e147a2103d08fc28dbc,Government of Nepal BIPAD Portal,2014,7,20,Far Western Region,Kailali,Gauriganga,FLOOD,1,0,0,0,0,0,0,0.0,False,28.74013,80.89463,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-cdb4f05ab7dd96c93d96,Government of Nepal BIPAD Portal,2014,7,21,Central Region,Kathmandu,Kageshwori Manahora,FLOOD,0,1,0,0,0,0,0,0.0,False,27.69912,85.37856,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-fa870ad5d9c2407b708b,Government of Nepal BIPAD Portal,2014,7,23,Western Region,Rupandehi,Tilottama,FLOOD,1,0,0,0,0,0,0,0.0,False,27.57833,83.42932,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-6ffed28e99eff015d022,Government of Nepal BIPAD Portal,2014,7,24,Western Region,Nawalparasi East,Madhyabindu,FLOOD,1,0,0,0,0,0,0,0.0,False,27.61064,84.00745,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-e06d80f11160e2f8c60f,Government of Nepal BIPAD Portal,2014,7,26,Mid-Western Region,Jajarkot,Kushe,FLOOD,0,2,0,0,0,0,0,0.0,False,28.86981,82.19935,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-9abed71d528facbd0052,Government of Nepal BIPAD Portal,2014,7,27,Central Region,Rasuwa,Gosaikunda,FLOOD,1,0,0,0,0,0,0,0.0,False,28.1755,85.46091,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-5f7697631eb2895b1e88,Government of Nepal BIPAD Portal,2014,7,29,Far Western Region,Achham,Kamalbazar,FLOOD,1,0,2,0,0,0,0,0.0,False,29.06417,81.30663,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-1f04823317c4be0e6ce9,Government of Nepal BIPAD Portal,2014,7,29,Western Region,Kaski,Machhapuchchhre,FLOOD,0,0,1,0,0,0,0,0.0,False,28.34628,83.99007,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
