event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
desinventar-27f0e60a-32c5-4665-a11b-c266a9835291,UNDRR DesInventar Nepal,2009,8,18,Far Western Region,Kailali,DANSINHAPUR,HEAVY RAINS,0,0,0,27,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-361ee276-105c-4842-9278-e40a0896de3a,UNDRR DesInventar Nepal,2009,8,19,Far Western Region,Kanchanpur,UNKNOWN,HEAVY RAINS,0,0,0,60,1,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-deb396e7-65f1-4d4a-80b3-19081a749328,UNDRR DesInventar Nepal,2009,9,2,Central Region,Makwanpur,DADAKHARKA,HEAVY RAINS,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-55915251-cece-4021-90d0-b4fc970c423c,UNDRR DesInventar Nepal,2009,9,5,Central Region,Ramechhap,Puranagau,HEAVY RAINS,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-d9e21ec9-8318-497e-b81b-645d5de4904f,UNDRR DesInventar Nepal,2009,7,27,Eastern Region,Siraha,UNKNOWN,HEAVY RAINS,7,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-770f6d31-e6c3-4872-a554-ad712b888c27,UNDRR DesInventar Nepal,2009,8,17,Mid-Western Region,Surkhet,LAGAM,HEAVY RAINS,0,0,0,0,23,25,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-33deb83f-ce95-430c-80ab-c812befb2b70,UNDRR DesInventar Nepal,2009,7,27,Western Region,Syangja,WALIN NP,HEAVY RAINS,0,0,0,54,10,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-cebb9a74-0b92-4bea-acbe-a3f61c6a3d94,UNDRR DesInventar Nepal,2009,8,17,Eastern Region,Udayapur,Trijuga Municipality,UNKNOWN,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-c7523029-8e49-403e-b0d1-8bd0054f2d7b,UNDRR DesInventar Nepal,2009,10,6,Far Western Region,Achham,SIDDESHWOR,HEAVY RAINS,4,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-d776c6ec-2909-40d3-baf6-98809bc356a3,UNDRR DesInventar Nepal,2009,10,6,Far Western Region,Achham,BINDHABASINI,HEAVY RAINS,1,0,2,0,1,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-cb842b8d-7cb0-4c76-bf40-e8a19913f657,UNDRR DesInventar Nepal,2009,8,18,Far Western Region,Baitadi,UNKNOWN,HEAVY RAINS,3,0,0,5,1,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-20e8d22d-2650-4fd1-a269-bb3c67959e4b,UNDRR DesInventar Nepal,2009,8,18,Central Region,Dolakha,Shayama,HEAVY RAINS,4,0,1,10,1,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-b65e9105-4d17-49cd-9c16-f86b593afb70,UNDRR DesInventar Nepal,2009,8,30,Central Region,Dolakha,Lamabagar,HEAVY RAINS,0,0,3,35,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-14255e9e-4d53-4418-a6d5-cb6c466ab026,UNDRR DesInventar Nepal,2009,9,7,Central Region,Dolakha,Laduk,HEAVY RAINS,4,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-c21d0a23-b5be-4605-88f2-1bb5d36f662a,UNDRR DesInventar Nepal,2010,7,17,Central Region,Rautahat,UNKNOWN,HEAVY RAINS,3,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-850ea924-2d89-492a-b468-6a126135def8,UNDRR DesInventar Nepal,2011,5,3,Central Region,Ramechhap,Manthali,RAIN,0,0,0,0,0,0,0,500.0,True,,,,,,,,,,,,,,,True,True,True,True
desinventar-e03f335c-f103-4c82-ad05-28df48180c76,UNDRR DesInventar Nepal,2011,5,8,Mid-Western Region,Salyan,UNKNOWN,RAIN,0,0,0,11,2,0,0,0.0,True,,,,,,,,,,,,,,,True,True,True,True
desinventar-92f8f8f2-1ea3-44a3-a985-5b72b8166207,UNDRR DesInventar Nepal,2011,5,8,Mid-Western Region,Salyan,UNKNOWN,RAIN,0,0,0,21,4,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-02b41380-b5c5-4f47-8986-63d70b2fe0ca,UNDRR DesInventar Nepal,2011,5,14,Western Region,Baglung,TANGRAM,OTHER,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-133c3a7a-ae63-45e8-9e18-52c0ecad1535,UNDRR DesInventar Nepal,2010,8,4,Eastern Region,Khotang,Durchim,HEAVY RAINS,0,0,0,65,12,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-8339896b-f755-4a45-ad89-797835df04aa,UNDRR DesInventar Nepal,2011,6,22,Eastern Region,Taplejung,LELEP,OTHER,0,0,0,15,0,0,0,0.0,True,,,,,,,,,,,,,,,True,True,True,True
desinventar-e7c430da-9628-4924-82a8-68e197fad5f4,UNDRR DesInventar Nepal,2011,6,19,Western Region,Arghakanchi,THADA,OTHER,1,0,1,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-82fe9382-4fad-42c0-bcd9-853ee0209f66,UNDRR DesInventar Nepal,2011,6,19,Western Region,Myagdi,MUNA,HEAVY RAINS,0,0,0,0,0,0,0,0.0,True,,,,,,,,,,,,,,,True,True,True,True
desinventar-6c8a5332-f50e-40d0-913c-19fa865f5710,UNDRR DesInventar Nepal,2011,6,25,Central Region,Rasuwa,Haku,HEAVY RAINS,0,0,0,0,0,0,0,0.0,True,,,,,,,,,,,,,,,True,True,True,True
desinventar-3ba85736-54e8-4ea2-b311-7c7765cbf401,UNDRR DesInventar Nepal,2011,6,24,Mid-Western Region,Jajarkot,Junga Thapachaur,RAIN,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-2264d7a3-c79b-4cd0-b8c1-1c7e92aedaa5,UNDRR DesInventar Nepal,2011,6,29,Central Region,Mahotari,Gauribas,RAIN,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-b4cd5159-98a8-4227-9619-1a70ef797e6e,UNDRR DesInventar Nepal,2011,6,30,Western Region,Nawalparasi,TRIBENI_SUSTA,RAIN,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-f094e56f-bb1c-47ef-9866-620bdedf50be,UNDRR DesInventar Nepal,2010,7,19,Eastern Region,Jhapa,DAMAK MUN.,HEAVY RAINS,0,0,0,1890,2,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-7b3e4ca2-4161-4802-b637-368882788bd3,UNDRR DesInventar Nepal,2011,7,1,Western Region,Tanahu,RISING_RANIPOKHARI,HEAVY RAINS,3,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-577d4cdd-5425-4fa7-b6e2-4970514733ef,UNDRR DesInventar Nepal,2011,7,1,Central Region,Mahotari,UNKNOWN,HEAVY RAINS,2,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-b91a0a1c-466f-494e-9744-e33aeea7aa55,UNDRR DesInventar Nepal,2011,7,1,Western Region,Syangja,DHAPUK SIMAL BHANJYANG,RAIN,0,1,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-63332034-982f-4f00-af78-a7a53b1e0ba8,UNDRR DesInventar Nepal,2011,7,1,Western Region,Parbat,KHAULALAKURI,RAIN,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-6d1ec018-8e43-4355-b271-7e2f89f3e860,UNDRR DesInventar Nepal,2011,6,29,Western Region,Mustang,TUKUCHE,RAIN,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-2988f4ad-5c4b-4a32-853d-ee66b17be764,UNDRR DesInventar Nepal,2011,7,1,Eastern Region,Sunsari,Inaruwa Municipality,HEAVY RAINS,0,0,0,675,0,125,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-5edc58cd-32a0-420d-adf4-88bf59e44eb2,UNDRR DesInventar Nepal,2011,7,1,Eastern Region,Sunsari,Duhabi,HEAVY RAINS,0,0,0,270,0,50,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-cb0d806e-aca7-4a66-99cd-dc02353de392,UNDRR DesInventar Nepal,2011,7,1,Western Region,Rupandehi,BUTAWAL_NP,HEAVY RAINS,0,0,0,16,3,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-05f8fd9d-19ea-4b2c-8382-de9e58194321,UNDRR DesInventar Nepal,2011,7,2,Central Region,Mahotari,Bijalapura,RAIN,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-002a2089-d7db-447c-9b04-8aea3710ee38,UNDRR DesInventar Nepal,2011,7,1,Western Region,Palpa,TANSEN  N.P.,RAIN,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-c0e229aa-2eb7-4b35-ba62-b7ec064b8d65,UNDRR DesInventar Nepal,2011,7,2,Central Region,Rautahat,KARUNIVA,RAIN,0,1,0,0,0,0,1,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-dcf0f236-13ba-4a92-8e78-014dc062196d,UNDRR DesInventar Nepal,2011,7,1,Eastern Region,Saptari,BHARDAHA,RAIN,0,0,0,2700,0,500,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-35c4a5e0-85f2-49be-8209-dcae3e75d15e,UNDRR DesInventar Nepal,2011,7,1,Eastern Region,Saptari,PORTAHA,RAIN,0,0,0,2700,0,500,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-e99d29ae-8b9b-4d14-9677-bcf29c94fc83,UNDRR DesInventar Nepal,2011,7,1,Eastern Region,Saptari,GOBARGADHA,RAIN,0,0,0,5400,0,1000,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-c5837430-2710-483c-b92f-3c5780697477,UNDRR DesInventar Nepal,2011,7,2,Western Region,Palpa,MADANPOKHARA,RAIN,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-838e0dcc-7516-4e08-80db-be7ac2da3d10,UNDRR DesInventar Nepal,2011,7,3,Central Region,Makwanpur,HETAUDA MUNICIPALITY,RAIN,2,0,0,2000,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-55a7b451-a7c8-40ea-b8a8-ffe9633b8ad9,UNDRR DesInventar Nepal,2011,7,5,Far Western Region,Kailali,BASAUTI,RAIN,0,0,0,135,0,25,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-41f7a6d6-679b-4551-bec6-66ec97ded360,UNDRR DesInventar Nepal,2011,7,3,Mid-Western Region,Bardiya,JAMUNT,RAIN,0,1,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-b370e536-a6ac-4f1f-a1cf-d96438f09778,UNDRR DesInventar Nepal,2011,7,3,Mid-Western Region,Bardiya,PADNAHA,RAIN,0,1,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-f1c7a910-ab52-4e26-8630-113d00f10784,UNDRR DesInventar Nepal,2011,7,5,Mid-Western Region,Bardiya,BHIMMAPUR,RAIN,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-fda1577b-a81d-4144-a58b-a2a4d098317c,UNDRR DesInventar Nepal,2011,7,6,Far Western Region,Kailali,GODAWARI,RAIN,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-ca332353-9cd5-4f63-ba38-4944dd7a64db,UNDRR DesInventar Nepal,2011,7,12,Eastern Region,Morang,Letang,HEAVY RAINS,0,0,0,40000,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-40a993ae-fc67-4e18-9910-f009fc98996b,UNDRR DesInventar Nepal,2011,7,14,Eastern Region,Jhapa,SATASIDHAM,HEAVY RAINS,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-c642b40d-dee8-41ba-9bb9-12ea62c2b27a,UNDRR DesInventar Nepal,2011,7,16,Central Region,Rasuwa,Haku,RAIN,0,0,0,135,0,0,0,0.0,True,,,,,,,,,,,,,,,True,True,True,True
desinventar-c1d4194c-27e9-481b-a4f4-b45e4efc12d6,UNDRR DesInventar Nepal,2011,7,17,Far Western Region,Kanchanpur,MAHENDRA NAGAR N.P.,RAIN,0,0,0,38,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-6b076ff4-afbe-4b7a-a6fd-ff827b1ae106,UNDRR DesInventar Nepal,2011,7,20,Central Region,Mahotari,Loharpatti,HEAVY RAINS,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-1171f845-8fc0-4d29-9cc0-4d4306e076ad,UNDRR DesInventar Nepal,2011,7,20,Central Region,Mahotari,Sarpallo,HEAVY RAINS,1,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-8e69854c-cf76-4acd-8d57-1eaddbafe2a2,UNDRR DesInventar Nepal,2011,7,20,Central Region,Mahotari,Raghunathpur,HEAVY RAINS,1,0,18,18,1,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-ce205787-5ae6-4166-92d9-b637937c7a05,UNDRR DesInventar Nepal,2011,7,20,Central Region,Mahotari,Sarpallo,RAIN,0,1,0,0,0,0,3,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-fbbdfd4a-a437-48ed-85ce-c456bf51b192,UNDRR DesInventar Nepal,2011,7,20,Central Region,Bhaktapur,MADHYAPUR THIMI,HEAVY RAINS,0,0,0,756,0,140,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-5e6ad614-11a8-4306-a12c-055cce213a79,UNDRR DesInventar Nepal,2011,7,25,Far Western Region,Kanchanpur,UNKNOWN,RAIN,0,0,0,756,0,140,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-ae062bb8-d7fd-4b7d-9d69-fce593c8b438,UNDRR DesInventar Nepal,2011,7,28,Mid-Western Region,Rukum,ATHABISH_KOT,RAIN,0,1,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
